metric,rho,tau,wins,full,w_scenetwin,extra
blend_all4_with_vlm_overall_mean_78,0.9396096291427841,0.8560749301494324,54/54,17/18,0.78,vlm_overall_mean
blend_all4_with_vlm_overall_mean_79,0.9396096291427841,0.8560749301494324,54/54,17/18,0.79,vlm_overall_mean
blend_all4_with_vlm_overall_mean_81,0.9396096291427841,0.8560749301494324,54/54,17/18,0.81,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_84,0.9396096291427841,0.8560749301494324,54/54,17/18,0.84,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_88,0.9393105501820366,0.8582506484981288,54/54,17/18,0.88,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_90,0.9393105501820366,0.8582506484981288,54/54,17/18,0.90,claude_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_80,0.9391034461777068,0.8565915758565037,54/54,18/18,0.80,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_83,0.9391034461777068,0.8565915758565037,54/54,18/18,0.83,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_84,0.9391034461777068,0.8565915758565037,54/54,18/18,0.84,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_85,0.9391034461777068,0.8565915758565037,54/54,18/18,0.85,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_82,0.9390053785774191,0.8551341884679494,54/54,17/18,0.82,vlm_overall_mean
blend_all4_with_vlm_overall_mean_83,0.9390053785774191,0.8551341884679494,54/54,17/18,0.83,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_85,0.9390053785774191,0.8551341884679494,54/54,17/18,0.85,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_86,0.9390053785774191,0.8551341884679494,54/54,17/18,0.86,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_89,0.9387053243120738,0.8573043964049666,54/54,17/18,0.89,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_90,0.9385064649476706,0.8567768850151576,54/54,17/18,0.90,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_81,0.9384987433791377,0.8556481930637102,54/54,18/18,0.81,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_82,0.9384987433791377,0.8556481930637102,54/54,18/18,0.82,gpt_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_87,0.9384011280120539,0.8541934467864666,54/54,17/18,0.87,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_88,0.9384011280120539,0.8541934467864666,54/54,17/18,0.88,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_91,0.9381000984421114,0.8573043964049666,54/54,17/18,0.91,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_92,0.9374948725721486,0.8563581443118045,54/54,17/18,0.92,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_93,0.9374948725721486,0.8563581443118045,54/54,17/18,0.93,claude_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_89,0.9371926268813234,0.8532527051049836,54/54,17/18,0.89,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_90,0.9371926268813234,0.8532527051049836,54/54,17/18,0.90,vlm_best_dims_mean
vlm_overall_mean,0.936889646702186,0.8525731359391555,52/54,13/18,,
blend_all4_with_vlm_overall_mean_00,0.936889646702186,0.8525731359391555,52/54,13/18,0.00,vlm_overall_mean
blend_all4_with_claude_vlm_specificity_norm_91,0.9366923416262513,0.8539461243818476,54/54,17/18,0.91,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_92,0.9366923416262513,0.8539461243818476,54/54,17/18,0.92,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_86,0.9366846349834308,0.8537614274781232,54/54,17/18,0.86,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_87,0.9366846349834308,0.8537614274781232,54/54,17/18,0.87,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_88,0.9366846349834308,0.8537614274781232,54/54,17/18,0.88,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_89,0.9366846349834308,0.8537614274781232,54/54,17/18,0.89,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_84,0.9365883763159585,0.8523119634235007,54/54,17/18,0.84,vlm_overall_mean
blend_all4_with_vlm_overall_mean_85,0.9365883763159585,0.8523119634235007,54/54,17/18,0.85,vlm_overall_mean
blend_all4_with_vlm_overall_mean_86,0.9365883763159585,0.8523119634235007,54/54,17/18,0.86,vlm_overall_mean
blend_all4_with_vlm_overall_mean_87,0.9365883763159585,0.8523119634235007,54/54,17/18,0.87,vlm_overall_mean
blend_all4_with_claude_vlm_specificity_norm_93,0.9360876338524448,0.8530025375040775,54/54,17/18,0.93,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_94,0.9360876338524448,0.8530025375040775,54/54,17/18,0.94,claude_vlm_specificity_norm
blend_all4_with_vlm_overall_mean_88,0.9359841257505933,0.8513712217420178,54/54,17/18,0.88,vlm_overall_mean
blend_all4_with_vlm_overall_mean_89,0.9359841257505933,0.8513712217420178,54/54,17/18,0.89,vlm_overall_mean
blend_all4_with_vlm_overall_mean_90,0.9359841257505933,0.8513712217420178,54/54,17/18,0.90,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_91,0.9359841257505933,0.8513712217420178,54/54,17/18,0.91,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_92,0.9359841257505933,0.8513712217420178,54/54,17/18,0.92,vlm_best_dims_mean
blend_all4_with_claude_vlm_completeness_norm_94,0.9356791949622606,0.8535193880323177,53/54,16/18,0.94,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_95,0.9356791949622606,0.8535193880323177,53/54,16/18,0.95,claude_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_90,0.9354752293862926,0.8518746618925362,54/54,17/18,0.90,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_91,0.9354752293862926,0.8518746618925362,54/54,17/18,0.91,gpt_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_96,0.9350739690922981,0.8525731359391555,53/54,16/18,0.96,claude_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_92,0.9348705265877235,0.8509312790997426,54/54,17/18,0.92,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_91,0.9347756246198629,0.8494897383790522,54/54,17/18,0.91,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_93,0.9347756246198629,0.8494897383790522,54/54,17/18,0.93,vlm_best_dims_mean
blend_all4_with_claude_vlm_specificity_norm_95,0.9342735105310254,0.8501717768707675,53/54,16/18,0.95,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_96,0.9342735105310254,0.8501717768707675,53/54,16/18,0.96,claude_vlm_specificity_norm
blend_all4_with_vlm_overall_mean_92,0.9341713740544978,0.8485489966975692,53/54,16/18,0.92,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_94,0.9341713740544978,0.8485489966975692,53/54,16/18,0.94,vlm_best_dims_mean
blend_all4_with_gpt_vlm_completeness_norm_93,0.9336611209905856,0.8490445135141557,53/54,16/18,0.93,gpt_vlm_completeness_norm
blend_all4_with_vlm_best_dims_mean_95,0.9335671234891328,0.8476082550160863,53/54,16/18,0.95,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_96,0.9329628729237677,0.8466675133346034,53/54,16/18,0.96,vlm_best_dims_mean
all4_mean,0.9326607523663312,0.8499193256580848,53/54,16/18,,
blend_all4_with_vlm_overall_mean_100,0.9326607523663312,0.8499193256580848,53/54,16/18,1.00,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_100,0.9326607523663312,0.8499193256580848,53/54,16/18,1.00,vlm_best_dims_mean
blend_all4_with_gpt_vlm_completeness_norm_100,0.9326607523663312,0.8499193256580848,53/54,16/18,1.00,gpt_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_100,0.9326607523663312,0.8499193256580848,53/54,16/18,1.00,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_100,0.9326607523663312,0.8499193256580848,53/54,16/18,1.00,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_completeness_norm_97,0.9326530656124473,0.8497343796596688,53/54,16/18,0.97,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_99,0.9326530656124473,0.8497343796596688,53/54,16/18,0.99,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_97,0.9324593872096058,0.8473410162374575,53/54,16/18,0.97,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_94,0.9324517153934474,0.8481011307213621,53/54,16/18,0.94,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_95,0.9324517153934474,0.8481011307213621,53/54,16/18,0.95,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_96,0.9324517153934474,0.8481011307213621,53/54,16/18,0.96,gpt_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_98,0.9320478397424847,0.8487881275665067,53/54,16/18,0.98,claude_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_99,0.9318470125948783,0.8471577479285686,53/54,16/18,0.99,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_93,0.9317543717930372,0.8457267716531205,53/54,16/18,0.93,vlm_overall_mean
blend_all4_with_vlm_overall_mean_94,0.9317543717930372,0.8457267716531205,53/54,16/18,0.94,vlm_overall_mean
blend_all4_with_vlm_overall_mean_95,0.9317543717930372,0.8457267716531205,53/54,16/18,0.95,vlm_overall_mean
blend_all4_with_claude_vlm_specificity_norm_98,0.9312499716619927,0.8463974293596875,53/54,16/18,0.98,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_99,0.9312499716619927,0.8463974293596875,53/54,16/18,0.99,claude_vlm_specificity_norm
blend_all4_with_gpt_vlm_completeness_norm_97,0.9312423097963093,0.8462143651357751,53/54,16/18,0.97,gpt_vlm_completeness_norm
blend_all4_with_gpt_vlm_completeness_norm_98,0.9312423097963093,0.8462143651357751,53/54,16/18,0.98,gpt_vlm_completeness_norm
blend_all4_with_vlm_overall_mean_96,0.9311501212276722,0.8447860299716375,53/54,16/18,0.96,vlm_overall_mean
blend_all4_with_vlm_overall_mean_97,0.9311501212276722,0.8447860299716375,53/54,16/18,0.97,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_99,0.9311501212276722,0.8447860299716375,53/54,16/18,0.99,vlm_best_dims_mean
blend_all4_with_vlm_overall_mean_98,0.930545870662307,0.8438452882901547,53/54,16/18,0.98,vlm_overall_mean
blend_all4_with_vlm_overall_mean_99,0.930545870662307,0.8438452882901547,53/54,16/18,0.99,vlm_overall_mean
blend_all4_with_vlm_best_dims_mean_97,0.930545870662307,0.8438452882901547,53/54,16/18,0.97,vlm_best_dims_mean
blend_all4_with_vlm_best_dims_mean_98,0.930545870662307,0.8438452882901547,53/54,16/18,0.98,vlm_best_dims_mean
strict_all4_80adqa_20clip,0.9260119910943441,0.8341831706826838,54/54,16/18,,
